======================================================================
CAPTURA DE TRÁFEGO MTA
======================================================================

Servidor: 94.23.158.180
Porta MTA: 22003
IPv4 local: 192.168.18.2
Interface Scapy: \Device\NPF_{A53A13E5-54FE-4F67-8537-8D554F42DF25}
Tempo: 79.46 segundos
Pacotes: 10739
Motivo: gta_sa.exe foi encerrado

======================================================================
LISTA DE PACOTES
======================================================================

000124 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000125 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000126 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000127 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000128 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000129 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000130 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000131 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   87 | payload=   45
000132 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000133 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000134 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1207 | payload= 1165
000135 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000136 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   71 | payload=   29
000137 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   97 | payload=   55
000138 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet=   60 | payload=   18
000139 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000140 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
000141 | 94.23.158.180   -> 192.168.18.2    | UDP 22003->62714     | packet= 1208 | payload= 1166
000142 | 192.168.18.2    -> 94.23.158.180   | UDP 62714->22003     | packet=   59 | payload=   17
