=== CORRELAÇÃO S2C -> C2S ===

   C2S #000124 len=45 dt=283.39ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22

S2C #000108 len=1165 -> respostas:
   C2S #000109 len=68 dt=0.30ms E3 92 F5 9E 83 C7 4B 18 0A 0C E9 7A C8 D0 50 3E
   C2S #000111 len=17 dt=46.70ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=90.49ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=96.24ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=108.13ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E
   C2S #000119 len=17 dt=178.34ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=202.86ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71
   C2S #000123 len=17 dt=220.19ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
   C2S #000124 len=45 dt=233.55ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22
   C2S #000126 len=17 dt=257.53ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA

S2C #000110 len=1165 -> respostas:
   C2S #000111 len=17 dt=0.32ms 79 ED 45 95 55 64 25 84 A5 9C 4D 9A 1E F0 EA 82
   C2S #000113 len=17 dt=44.10ms 98 6C 3B 0A 68 99 2D 27 19 9A A5 B8 59 DE 7F 0F
   C2S #000115 len=25 dt=49.85ms 5F 15 13 96 B4 AD 54 1D 7D E6 E1 96 41 DA 13 A6
   C2S #000116 len=55 dt=61.75ms 66 21 0D 28 EC 34 5E 9E C3 99 D7 53 67 74 0E 0E
   C2S #000119 len=17 dt=131.96ms E5 1D 89 50 47 5A 8C 67 4F 5A F7 1D 33 DF AC 68
   C2S #000120 len=55 dt=156.48ms 97 0C 0A 97 2F 11 5A CF E6 72 70 75 F1 44 01 71
   C2S #000123 len=17 dt=173.80ms 55 8A 1C CD 07 9E 1D B2 06 04 3A BC F4 9C B9 7C
   C2S #000124 len=45 dt=187.16ms B6 2B DB 12 A3 D3 DE FA 5C 4A 9E 3E 70 FD 77 22
   C2S #000126 len=17 dt=211.15ms 35 22 AE FF AA 17 2F 59 35 BC 66 F5 09 57 5F DA
   C2S #000128 len=17 dt=250.40ms A3 A5 32 91 DC 01 8D D1 FF E2 80 F2 7D F4 59 5E

S2C #000112 len=1165 -> respostas:
